NIM,ANGKATAN,IPK,IPK LULUS,SKS TEMPUH,SKS LULUS,SKS TOTAL,IP SEMESTER 1,IP SEMESTER 2,IP SEMESTER 3,IP SEMESTER 4,IP SEMESTER 5,SKS TEMPUH SEMESTER 1,SKS TEMPUH SEMESTER 2,SKS TEMPUH SEMESTER 3,SKS TEMPUH SEMESTER 4,SKS TEMPUH SEMESTER 5,JUMLAH MATKUL YANG DI ULANG,JUMLAH CUTI (SEMESTER),status_kelulusan
201021008,2020,3.99,3.99,36.0,36.0,36.0,4.0,3.96,4.0,4.0,,12.0,24.0,27.0,36.0,,0,0,Tepat Waktu
201021009,2020,3.89,3.89,36.0,36.0,36.0,3.84,3.84,4.0,4.0,,12.0,24.0,27.0,36.0,,0,0,Tepat Waktu
201021010,2020,3.81,3.81,36.0,36.0,36.0,3.63,3.92,4.0,3.84,,12.0,24.0,27.0,36.0,,0,0,Tepat Waktu
201021011,2020,3.96,3.96,36.0,36.0,36.0,3.96,3.92,4.0,4.0,,12.0,24.0,27.0,36.0,,0,0,Tepat Waktu
201021012,2020,3.93,3.93,36.0,36.0,36.0,3.92,3.88,4.0,4.0,,12.0,24.0,27.0,36.0,,0,0,Tepat Waktu
201021013,2020,3.91,3.91,36.0,36.0,36.0,3.92,3.8,4.0,4.0,,12.0,24.0,27.0,36.0,,0,0,Tepat Waktu
201021014,2020,3.68,3.68,45.0,36.0,36.0,3.5,3.67,4.0,0.0,0.0,12.0,24.0,27.0,27.0,36.0,0,1,Tepat Waktu
201022001,2020,3.89,3.89,156.0,148.0,148.0,3.73,3.87,3.95,3.97,3.84,21.0,43.0,66.0,90.0,112.0,1,0,Tidak Tepat Waktu
201022002,2020,3.77,3.77,154.0,148.0,148.0,3.66,3.81,3.82,3.81,3.66,21.0,43.0,66.0,90.0,112.0,1,0,Tidak Tepat Waktu
201022003,2020,3.77,3.77,154.0,148.0,148.0,3.72,3.67,3.84,3.89,3.61,21.0,43.0,66.0,90.0,112.0,1,0,Tidak Tepat Waktu
201022008,2020,3.79,3.79,154.0,148.0,148.0,3.69,3.66,3.79,3.91,3.79,21.0,43.0,66.0,90.0,112.0,1,0,Tidak Tepat Waktu
201022010,2020,3.75,3.75,154.0,148.0,148.0,3.61,3.78,3.79,3.8,3.62,21.0,43.0,66.0,90.0,112.0,1,0,Tidak Tepat Waktu
201022013,2020,3.77,3.77,154.0,148.0,148.0,3.66,3.75,3.89,3.84,3.65,21.0,43.0,66.0,90.0,112.0,1,0,Tidak Tepat Waktu
201022014,2020,3.76,3.76,154.0,148.0,148.0,3.71,3.65,3.78,3.82,3.71,21.0,43.0,66.0,90.0,112.0,1,0,Tidak Tepat Waktu
201022015,2020,3.71,3.71,159.0,148.0,148.0,3.52,3.72,3.55,3.69,3.66,21.0,43.0,66.0,90.0,112.0,2,0,Tidak Tepat Waktu
201022016,2020,3.83,3.83,157.0,148.0,148.0,3.65,3.85,3.92,3.86,3.74,21.0,43.0,66.0,90.0,112.0,2,0,Tidak Tepat Waktu
201022021,2020,3.73,3.73,156.0,148.0,148.0,3.62,3.69,3.75,3.74,3.65,21.0,43.0,66.0,90.0,112.0,1,0,Tidak Tepat Waktu
201022022,2020,3.64,3.64,161.0,148.0,148.0,3.63,3.41,3.6,3.74,3.37,21.0,43.0,66.0,90.0,112.0,3,0,Tidak Tepat Waktu
201022023,2020,3.78,3.78,157.0,148.0,148.0,3.66,3.78,3.84,3.84,3.66,21.0,43.0,66.0,90.0,112.0,2,0,Tidak Tepat Waktu
201022024,2020,3.8,3.8,154.0,148.0,148.0,3.68,3.86,3.71,3.88,3.74,21.0,43.0,66.0,90.0,112.0,1,0,Tidak Tepat Waktu
201022025,2020,3.88,3.88,158.0,148.0,148.0,3.73,3.85,3.94,3.95,3.5,21.0,43.0,66.0,90.0,112.0,2,0,Tidak Tepat Waktu
